timestamp,mmsi,ship_type,ship_type_name,vessel_name,lat,lon,sog,cog,nav_status,position_accuracy,true_heading,is_dead_reckoned,is_synthetic
2025-09-25 14:31:47,327463651,0,Unknown,RV Star 1,55.7007588229035,21.07447747205275,44.0,150.3,0,0,247,False,False
2025-09-25 14:32:49,327463651,0,Unknown,VLCC Seafarer 82,55.75283882290352,20.99066413871941,32.8,71.9,0,0,248,False,False
2025-09-25 14:33:49,327463651,0,Unknown,FV Endeavour 38,55.75435882290352,20.94079747205275,32.8,7.9,0,0,248,False,False
2025-09-25 14:34:47,327463651,0,Unknown,FV Enterprise 22,55.775478822903516,21.10599747205275,32.8,60.7,0,0,247,False,False
2025-09-25 14:35:48,327463651,0,Unknown,ATB Horizon 63,55.80105215623686,20.862157472052743,39.2,22.3,0,0,247,False,False
2025-09-25 14:36:50,327463651,0,Unknown,VLCC Challenger 43,55.8291588229035,20.78087747205275,44.0,145.5,0,0,248,False,False
2025-09-25 14:39:48,327463651,0,Unknown,FV Discovery 37,55.90237882290352,20.665490805386085,17.6,182.3,0,0,247,False,False
2025-09-25 14:41:48,327463651,0,Unknown,VLCC Wind 18,55.94718548957018,20.545330805386087,31.2,30.3,0,0,248,False,False
2025-09-25 14:42:51,327463651,0,Unknown,VLCC Pioneer 20,55.9698188229035,20.49218413871941,20.0,185.5,0,0,248,False,False
2025-09-25 14:43:47,327463651,0,Unknown,ATB Explorer 65,55.986332156236834,20.668397472052746,26.4,94.3,0,0,247,False,False
2025-09-25 14:50:18,327463651,0,Unknown,MT Pioneer 20,56.115878822903504,20.44050413871942,5.6,148.7,0,0,240,False,False
2025-09-25 14:51:47,327463651,0,Unknown,FV Pioneer 48,56.146118822903524,20.198077472052745,5.6,123.1,0,0,247,False,False
2025-09-25 14:56:19,327463651,0,Unknown,VLCC Cargo 53,56.22555048957019,20.216904138719414,12.0,324.7,0,0,240,False,False
2025-09-25 14:56:47,327463651,0,Unknown,MV Wave 43,56.23133882290352,20.006237472052746,12.0,94.3,0,0,247,False,False
2025-09-25 14:57:18,327463651,0,Unknown,MY Wind 27,56.242565489570175,19.97983747205275,7.2,73.5,0,0,240,False,False
